,Moulins,Monétay sur Allier,Vichy,Monteignet sur l'Andelot,Veauce,Clermont-Ferrand
Moulins,0,30,70,65,68,97
Monétay sur Allier,30,0,45,36,42,80
Vichy,70,45,0,26,58,65
Monteignet sur l'Andelot,65,36,26,0,26,55
Veauce,68,42,58,26,0,45
Clermont-Ferrand,97,80,65,55,45,0
