,Moulins,Monétay sur Allier,Vichy,Monteignet sur l'Andelot,Veauce,Clermont-Ferrand
Moulins,0,25,69,91,91,98
Monétay sur Allier,25,0,39,33,45,107
Vichy,69,39,0,18,54,56
Monteignet sur l'Andelot,91,33,18,0,22,50
Veauce,91,45,54,22,0,54
Clermont-Ferrand,98,107,56,50,54,0
